anime_id,title,title_english,title_japanese,image_url,episodes,release_data,end_data,duration,studio,tag,,,,,,,,,,,,,,,,,,,,,duration_min,,,,,,,,,,
,Gakuen Alice,Gakuen Alice,学園アリス,https://myanimelist.cdn-dena.com/images/anime/4/18118.jpg,26,2004-10-30,2005-05-14,25,Group TAC,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
,Skip Beat!,Skip Beat!,スキップ・ビート！,https://myanimelist.cdn-dena.com/images/anime/11/84022.jpg,25,2008-10-06,2009-03-30,24,Hal Film Maker,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Chihayafuru 2,,ちはやふる 2,https://myanimelist.cdn-dena.com/images/anime/6/47435.jpg,25,2013-01-12,2013-06-29,22,Madhouse,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,
,Shounen Onmyouji,Shonen Onmyoji,少年陰陽師,https://myanimelist.cdn-dena.com/images/anime/11/23852.jpg,26,2006-10-03,2007-03-13,23,Studio Deen,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
,Chihayafuru,Chihayafuru,ちはやふる,https://myanimelist.cdn-dena.com/images/anime/3/35749.jpg,25,2011-10-05,2012-03-28,22,Madhouse,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,
,Itazura na Kiss,ItaKiss,イタズラなKiss,https://myanimelist.cdn-dena.com/images/anime/10/19933.jpg,25,2008-04-05,2008-09-25,24,TMS Entertainment,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Beelzebub,Beelzebub,べるぜバブ,https://myanimelist.cdn-dena.com/images/anime/3/28013.jpg,60,2011-01-09,2012-03-25,24,Pierrot Plus,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Hanasakeru Seishounen,,花咲ける青少年,https://myanimelist.cdn-dena.com/images/anime/6/22695.jpg,39,2009-04-05,2010-02-14,24,Studio Pierrot,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,SKET Dance,SKET Dance,スケットダンス,https://myanimelist.cdn-dena.com/images/anime/9/73974.jpg,77,2011-04-07,2012-09-27,24,Tatsunoko Production,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,B-gata H-kei,Yamada&#039,s First Time: B Gata H Kei,,4-koma manga,,,,Funimation,,,,,,,,,,,,,,,,,,,,,,"['#1: ""Hadashi no Princess (裸足のプリンセス)"" by Yukari Tamura (eps 1-11)', '#2: ""Oshiete A to Z (おしえて A to Z)"" by Yukari Tamura (ep 12)']",,,,,,,,,,
,Crayon Shin-chan,Shin Chan,クレヨンしんちゃん,https://myanimelist.cdn-dena.com/images/anime/10/59897.jpg,0,1992-04-13,None,21,Shin-Ei Animation,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,
,Fruits Basket,Fruits Basket,フルーツバスケット,https://myanimelist.cdn-dena.com/images/anime/4/75204.jpg,26,2001-07-05,2001-12-27,24,Funimation,,,,,,,,,,,,,,,,,,,,,,"['#1: ""Chiisana Inori (小さな祈り)"" by Ritsuko Okazaki (eps 1-24, 26)', '#2: ""Serenade (セレナーデ) Pf Solo Ver."" by Ritsuko Okazaki (ep 25)']",,,,,,,,,,
,Saiunkoku Monogatari,The Story of Saiunkoku,彩雲国物語,https://myanimelist.cdn-dena.com/images/anime/1/957.jpg,39,2006-04-08,2007-02-24,25,Madhouse,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
,One Piece,One Piece,ONE PIECE,https://myanimelist.cdn-dena.com/images/anime/6/73245.jpg,0,1999-10-20,None,24,Toei Animation,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Glass no Kamen (2005),Glass Mask,ガラスの仮面 (2005),https://myanimelist.cdn-dena.com/images/anime/1/2043.jpg,51,2005-04-06,2006-03-29,25,Tokyo Movie Shinsha,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
,Air Gear,Air Gear,エア・ギア,https://myanimelist.cdn-dena.com/images/anime/11/18227.jpg,25,2006-04-05,2006-09-27,24,Toei Animation,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Saiunkoku Monogatari 2nd Season,Tales of Saiunkoku,彩雲国物語 第2シリーズ,https://myanimelist.cdn-dena.com/images/anime/5/73277.jpg,39,2007-04-07,2008-03-08,25,Madhouse,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
,InuYasha,InuYasha,犬夜叉,https://myanimelist.cdn-dena.com/images/anime/8/20483.jpg,167,2000-10-16,2004-09-13,24,Sunrise,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Chu-Bra!!,Chu-Bra,ちゅーぶら!!,https://myanimelist.cdn-dena.com/images/anime/1130/91352.jpg,12,2010-01-04,2010-03-22,24,Zexcs,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Nodame Cantabile Finale,,のだめカンタービレ フィナーレ,https://myanimelist.cdn-dena.com/images/anime/4/20712.jpg,11,2010-01-15,2010-03-26,22,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,
,Ghost Hunt,Ghost Hunt,ゴーストハント,https://myanimelist.cdn-dena.com/images/anime/11/73908.jpg,25,2006-10-04,2007-03-28,25,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
,Accel World,Accel World,アクセル・ワールド,https://myanimelist.cdn-dena.com/images/anime/8/38155.jpg,24,2012-04-07,2012-09-22,24,Sunrise,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Bakuman.,Bakuman.,バクマン。,https://myanimelist.cdn-dena.com/images/anime/6/26138.jpg,25,2010-10-02,2011-04-02,24,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Nodame Cantabile,Nodame Cantabile,のだめカンタービレ,https://myanimelist.cdn-dena.com/images/anime/9/11986.jpg,23,2007-01-12,2007-06-15,22,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,
,Kamisama Hajimemashita,Kamisama Kiss,神様はじめました,https://myanimelist.cdn-dena.com/images/anime/3/85429.jpg,13,2012-10-02,2012-12-25,24,TMS Entertainment,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Cardcaptor Sakura,Cardcaptor Sakura,カードキャプターさくら,https://myanimelist.cdn-dena.com/images/anime/8/60781.jpg,70,1998-04-07,2000-03-21,25,Madhouse,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
,Daa! Daa! Daa!,,だぁ! だぁ! だぁ!,https://myanimelist.cdn-dena.com/images/anime/3/21166.jpg,78,2000-03-28,2002-02-26,25,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
,Kimi ni Todoke 2nd Season,Kimi ni Todoke: From Me To You 2,君に届け 2ND SEASON,https://myanimelist.cdn-dena.com/images/anime/8/27174.jpg,12,2011-01-12,2011-03-30,23,Production I.G,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
,Sekaiichi Hatsukoi,Sekai Ichi Hatsukoi - World&#039,s Greatest First Love,"Sekai-ichi Hatsukoi, Sekai&#039;ichi Hatsukoi, World&#039;s Greatest First Love",Manga,,,,Funimation,,,,,,,,,,,,,,,,,,,,,,"['""Ashita, Boku wa Kimi ni Ai ni Iku. (明日、僕は君に会いに行く。)"" by Wakaba (ワカバ)']",,,,,,,,,,
,Code-E,,CODE-E,https://myanimelist.cdn-dena.com/images/anime/10/57435.jpg,12,2007-07-04,2007-09-19,24,Studio Deen,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Junjou Romantica,Junjo Romantica,純情ロマンチカ,https://myanimelist.cdn-dena.com/images/anime/7/8811.jpg,12,2008-04-11,2008-06-27,24,Studio Deen,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Kiniro no Corda: Primo Passo,La corda d&#039,oro: primo passo,"Kin&#039;iro no Chord, Kiniro no Chord, Kin-iro no Corda: Primo Passo, The Golden Chord",Visual novel,,,,Sentai Filmworks,,,,,,,,,,,,,,,,,,,,,,"['#1: ""Crescendo"" by Stella Quintet (eps 1-24, ep 26)', '#2: ""Brand New Breeze"" by Kanon (ep 25)']",,,,,,,,,,
,D.Gray-man Hallow,D.Gray-man HALLOW,ディー・グレイマン ハロー,https://myanimelist.cdn-dena.com/images/anime/12/80766.jpg,13,2016-07-05,2016-09-27,24,TMS Entertainment,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,,スーパーダンガンロンパ2.5 狛枝凪斗と世界の破壊者,https://myanimelist.cdn-dena.com/images/anime/10/83150.jpg,1,2017-01-12,2017-01-12,25,Lerche,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
,Juuni Kokuki,The Twelve Kingdoms,十二国記,https://myanimelist.cdn-dena.com/images/anime/6/50859.jpg,45,2002-04-09,2003-08-30,25,"Media Blasters, TOKYOPOP",,,,,,,,,,,,,,,,,,,,,,"['""Getsumei Fuuei"" by Arisaka, Mika']",,,,,,,,,,
,Diabolik Lovers OVA,,DIABOLIK LOVERS OAD,https://myanimelist.cdn-dena.com/images/anime/12/74238.jpg,1,2015-02-26,2015-02-26,11,"Production I.G, Zexcs",,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,
,Neko Konogoro,,ネコこのゴロ,https://myanimelist.cdn-dena.com/images/anime/1877/91297.jpg,0,2016-06-08,None,1,Kachidoki Studio,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
,Ao no 6-gou,Blue Submarine No. 6,青の6号,https://myanimelist.cdn-dena.com/images/anime/3/20750.jpg,4,1998-10-25,2000-03-25,32,Gonzo,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,
,Ben-To Picture Drama,,ベン・トー,https://myanimelist.cdn-dena.com/images/anime/13/34953.jpg,6,2011-12-21,2012-05-16,9,David Production,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,
,Seikai no Monshou Special,,星界の紋章 総集編,https://myanimelist.cdn-dena.com/images/anime/9/2753.jpg,1,2000-04-07,2000-04-07,1,Sunrise,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,
,Tegamibachi Gakuen,Letter Bee Academy,テガミバチ学園,https://myanimelist.cdn-dena.com/images/anime/4/19573.jpg,25,2010-01-27,2010-07-23,3,Studio Pierrot,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,,おにくだいすき! ゼウシくん「すてきなハンバーグ」,https://myanimelist.cdn-dena.com/images/anime/3/78398.jpg,1,2016-02-10,2016-02-10,4,DLE,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
,Soul Buster,Soul Buster,侍霊演武[ソウルバスター],https://myanimelist.cdn-dena.com/images/anime/3/82256.jpg,12,2016-10-04,2016-12-11,13,Studio Pierrot,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,
,Death Billiards,Death Billiards,デス・ビリヤード,https://myanimelist.cdn-dena.com/images/anime/11/48721.jpg,1,2013-03-02,2013-03-02,25,Madhouse,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,
,Live On Cardliver Kakeru,,ライブオン CARDLIVER 翔,https://myanimelist.cdn-dena.com/images/anime/9/21028.jpg,51,2008-10-05,2009-09-27,23,TMS Entertainment,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
,Triage X,Triage X,トリアージX,https://myanimelist.cdn-dena.com/images/anime/8/73682.jpg,10,2015-04-09,2015-06-11,23,Xebec,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
,Shinkai no Kantai: Submarine 707,,深海の艦隊 サブマリン707,https://myanimelist.cdn-dena.com/images/anime/6/43741.jpg,1,1997-01-10,1997-01-10,46,"J.C.Staff, Toei Animation",,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,
,Nanatsu no Bitoku,The Seven Heavenly Virtues,七つの美徳,https://myanimelist.cdn-dena.com/images/anime/9/89129.jpg,10,2018-01-27,2018-03-31,5,Bridge,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
,Hai to Gensou no Grimgar Special,Grimgar: Ashes and Illusions Special,灰と幻想のグリムガル 「風呂の壁にかけた青春――one more センチメートル」,https://myanimelist.cdn-dena.com/images/anime/11/78160.jpg,1,2016-03-16,2016-03-16,11,A-1 Pictures,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,
,Medamayaki no Kimi Itsu Tsubusu?,,目玉焼きの黄身 いつつぶす？,https://myanimelist.cdn-dena.com/images/anime/9/62711.jpg,4,2014-08-05,2014-08-08,18,Fanworks,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,
,Bounty Dog: Getsumen no Ibu,,バウンティドッグ~月面のイブ~,https://myanimelist.cdn-dena.com/images/anime/10/27945.jpg,2,1994-10-01,1994-11-01,29,Animate Film,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,
,Aisai Nikki,,愛妻日記,https://myanimelist.cdn-dena.com/images/anime/11/36725.jpg,1,2010-12-22,2010-12-22,22,G-Lam,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,
,Chikyuu Shoujo Arjuna,Arjuna,地球少女アルジュナ,https://myanimelist.cdn-dena.com/images/anime/4/57253.jpg,13,2001-01-09,2001-03-27,26,Satelight,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,
,K-On!!,K-ON! Season 2,けいおん!!,https://myanimelist.cdn-dena.com/images/anime/12/76121.jpg,26,2010-04-07,2010-09-29,24,Kyoto Animation,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Haru wo Daite Ita,Embracing Love,春を抱いていた,https://myanimelist.cdn-dena.com/images/anime/6/3718.jpg,2,2005-03-31,2005-05-27,30,Trinet Entertainment,,,,,,,,,,,,,,,,,,,,,,Private Truth&#039,,,['&#039,&#039,One Night Cruising&#039,&#039, by Shinichiro Miki'],30.0,2005.0,
,Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,Pokemon 4D: Pikachu&#039,s Ocean Adventure,Pokemon 4D: Pikachu no Kaiyou Adventure,Game,,,,The Pokemon Company International,,,,,,,,,,,,,,,,,,,,,,"['""Big Meowth Day"" by Inuko Inuyama']",,,,,,,,,,
,Soredemo Machi wa Mawatteiru,And Yet The Town Moves,それでも町は廻っている,https://myanimelist.cdn-dena.com/images/anime/9/25880.jpg,12,2010-10-08,2010-12-24,24,Shaft,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Majokko Shimai no Yoyo to Nene,Magical Sisters Yoyo & Nene,魔女っこ姉妹のヨヨとネネ,https://myanimelist.cdn-dena.com/images/anime/5/53567.jpg,1,2013-12-28,2013-12-28,1,ufotable,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,
,Bernard-jou Iwaku.,Miss Bernard said.,バーナード嬢曰く。,https://myanimelist.cdn-dena.com/images/anime/11/81589.jpg,12,2016-10-07,2016-12-23,3,Creators in Pack,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
,Aoi Umi no Tristia,,蒼い海のトリスティア,https://myanimelist.cdn-dena.com/images/anime/2/18760.jpg,2,2004-04-23,2004-07-23,27,ufotable,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,
,Space☆Dandy,Space Dandy,スペース☆ダンディ,https://myanimelist.cdn-dena.com/images/anime/4/56611.jpg,13,2014-01-05,2014-03-27,24,Bones,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Nanatsu no Taizai OVA,,七つの大罪,https://myanimelist.cdn-dena.com/images/anime/6/76269.jpg,2,2015-06-17,2015-08-12,24,A-1 Pictures,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Aoki Hagane no Arpeggio: Ars Nova,Arpeggio of Blue Steel -Ars Nova-,蒼き鋼のアルペジオ ‐アルス・ノヴァ‐,https://myanimelist.cdn-dena.com/images/anime/6/56143.jpg,12,2013-10-08,2013-12-24,24,SANZIGEN,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,ClassicaLoid 2nd Season,ClassicaLoid 2,クラシカロイド 第2シリーズ,https://myanimelist.cdn-dena.com/images/anime/2/88678.jpg,25,2017-10-07,2018-03-24,24,Sunrise,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Juvenile Pornography The Animation,,ジュヴナイル・ポルノグラフィ THE ANIMATION,https://myanimelist.cdn-dena.com/images/anime/6/88882.jpg,1,2017-12-01,2017-12-01,16,Office Takeout,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,
,Chirin no Suzu,Ringing Bell,チリンの鈴,https://myanimelist.cdn-dena.com/images/anime/11/80079.jpg,1,1978-03-11,1978-03-11,46,Sanrio,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,
,Re:Creators,Re:CREATORS,Re:CREATORS 〈レクリエイターズ〉,https://myanimelist.cdn-dena.com/images/anime/11/85469.jpg,22,2017-04-08,2017-09-16,24,TROYCA,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Rekka no Honoo,Flame of Recca,烈火の炎,https://myanimelist.cdn-dena.com/images/anime/6/22466.jpg,42,1997-07-19,1998-07-10,23,Studio Pierrot,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
,Hibike! Euphonium,Sound! Euphonium,響け！ユーフォニアム,https://myanimelist.cdn-dena.com/images/anime/6/72445.jpg,13,2015-04-08,2015-07-01,23,Kyoto Animation,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
,Gintama.: Shirogane no Tamashii-hen,,銀魂. 銀ノ魂篇,https://myanimelist.cdn-dena.com/images/anime/12/89603.jpg,12,2018-01-08,2018-03-26,24,Bandai Namco Pictures,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Gun-dou Musashi,Gun Samurai,GUN道 MUSASHI,https://myanimelist.cdn-dena.com/images/anime/3/28268.jpg,26,2006-04-09,2006-10-08,24,ACC Production,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Denki-gai no Honya-san,Denki-gai,デンキ街の本屋さん,https://myanimelist.cdn-dena.com/images/anime/2/65339.jpg,12,2014-10-02,2014-12-18,23,Shin-Ei Animation,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
,Uchi no 3 Shimai,,うちの3姉妹,https://myanimelist.cdn-dena.com/images/anime/3/7166.jpg,141,2008-04-08,2010-12-28,23,"Toei Animation, Daewon Media",,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
,Hourou Musuko Specials,Wandering Son Specials,放浪息子,https://myanimelist.cdn-dena.com/images/anime/7/30177.jpg,2,2011-08-24,2011-09-21,23,AIC Classic,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
,Selector Infected WIXOSS,selector infected WIXOSS,selector infected WIXOSS,https://myanimelist.cdn-dena.com/images/anime/13/70147.jpg,12,2014-04-04,2014-06-20,24,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Gokujo.: Gokurakuin Joshikou Ryou Monogatari,,ゴクジョッ。~極楽院女子高寮物語~,https://myanimelist.cdn-dena.com/images/anime/11/35659.jpg,12,2012-01-24,2012-03-27,6,LMD,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,
,Ultra B,,ウルトラ B,https://myanimelist.cdn-dena.com/images/anime/2/28227.jpg,119,1987-04-05,1989-03-27,10,Shin-Ei Animation,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,
,Saint☆Oniisan (Movie),Saint☆Young Men (Movie),聖☆おにいさん,https://myanimelist.cdn-dena.com/images/anime/7/48723.jpg,1,2013-05-10,2013-05-10,1,A-1 Pictures,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,
,Supernatural The Animation,,スーパーナチュラル・ザ・アニメーション,https://myanimelist.cdn-dena.com/images/anime/8/37135.jpg,22,2011-02-23,2011-04-27,24,Madhouse,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Andromeda Stories,,アンドロメダ・ストーリーズ,https://myanimelist.cdn-dena.com/images/anime/8/75156.jpg,1,1982-08-22,1982-08-22,1,Toei Animation,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,
,ACCA: 13-ku Kansatsu-ka,ACCA: 13-Territory Inspection Dept.,ACCA 13区監察課,https://myanimelist.cdn-dena.com/images/anime/3/83776.jpg,12,2017-01-10,2017-03-28,24,Madhouse,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
,Alice to Zouroku,Alice & Zoroku,アリスと蔵六,https://myanimelist.cdn-dena.com/images/anime/2/84598.jpg,12,2017-04-02,2017-06-25,23,J.C.Staff,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
,Micchiri Neko,Mitchiri Neko,みっちりねこ,https://myanimelist.cdn-dena.com/images/anime/7/89947.jpg,13,2018-01-04,2018-03-26,3,helo.inc,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
,Slayers,Slayers,スレイヤーズ,https://myanimelist.cdn-dena.com/images/anime/6/19870.jpg,26,1995-04-07,1995-09-29,22,E&amp,,,,,,,,,,,,,,,,,,,,,,"['""Kujikenai Kara!"" by Masami Okui and Megumi Hayashibara']",,,,,,,,,,
,Seikaisuru Kado,KADO: The Right Answer,正解するカド,https://myanimelist.cdn-dena.com/images/anime/3/85255.jpg,12,2017-04-07,2017-06-30,23,Toei Animation,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
,Dragon Ball Super,Dragon Ball Super,ドラゴンボール超（スーパー）,https://myanimelist.cdn-dena.com/images/anime/7/74606.jpg,131,2015-07-05,2018-03-25,23,Toei Animation,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,
